Mob,Health Points,Attack Strength,Behavior,Size,Image,Description
bat,6 HP (3 Hearts),0 HP (0 Hearts),Passive,"Height: 0.9, Width: 0.5",https://gamepedia.cursecdn.com/minecraft_gamepedia/thumb/0/09/Bat.gif/220px-Bat.gif?version=1e59fda0d862e9da519812d0ddfa8fe9,Bats are ambient flying passive mobs that spawn in caves.
cat,10 HP (5 Hearts),3 HP (1.5 Hearts),Passive,"Height: 0.7, Width: 0.6",https://gamepedia.cursecdn.com/minecraft_gamepedia/thumb/f/fe/Siamese_Cat.png/200px-Siamese_Cat.png?version=c4738c781b78a6b13010f5118089a452,Cats are tameable passive mobs that are found in villages.
chicken,4 HP (2 Hearts),0 HP (0 Hearts),Passive,"Height: 0.7, Width: 0.4",https://gamepedia.cursecdn.com/minecraft_gamepedia/thumb/a/a3/Chicken.png/150px-Chicken.png?version=e36c6cd6ad40e266797f013ca279cb5f,A chicken is a common passive mob found in grassy biomes.
cod,3 HP (1.5 Hearts),0 HP (0 Hearts),Passive,"Height: 0.3, Width: 0.5",https://gamepedia.cursecdn.com/minecraft_gamepedia/thumb/6/66/Cod.gif/150px-Cod.gif?version=3d946f77c8356c90dfafd13e291d1139,Cod are common passive fish mobs found in oceans.
cow,10 HP (5 Hearts),0 HP (0 Hearts),Passive,"Height: 1.4, Width: 0.9",https://gamepedia.cursecdn.com/minecraft_gamepedia/thumb/8/84/Cow.png/150px-Cow.png?version=0c947ece55d9b6745a416496302a09f9,"A cow is a common passive mob, source of leather, raw beef and milk. Cows are found in grassy biomes."
donkey,15 HP (7.5 Hearts) - 30 HP (15 Hearts),0 HP (0 Hearts),Passive,"Height: 1.5, Width: 1.3965",https://gamepedia.cursecdn.com/minecraft_gamepedia/thumb/9/95/Donkey.png/200px-Donkey.png?version=ab529d3546517be13c65703fa6e128de,A donkey is a mob that can be ridden when tamed.
fox,10 HP (5 Hearts)[JE] 20 HP (10 Hearts)[BE],2 HP (1 Heart),Passive,"Height: 0.6, Width: 0.7",https://gamepedia.cursecdn.com/minecraft_gamepedia/thumb/7/73/Fox.png/212px-Fox.png?version=c0c8de6959ef3d8bdfc96a1b0eb258a2,"Foxes are nocturnal passive mobs that spawn commonly in taiga, giant tree taiga, and snowy taiga biomes. They move to villages during the night."
horse,15 HP (7.5 Hearts) - 30 HP (15 Hearts),0 HP (0 Hearts),Passive,"Height: 1.6, Width: 1.3965",https://gamepedia.cursecdn.com/minecraft_gamepedia/thumb/e/e6/Black_Horse.png/200px-Black_Horse.png?version=2e0c737825f29f7fcc58610bdd5363c4,Horses are passive mobs that can be ridden when tamed.
mooshroom,10 HP (5 Hearts),0 HP (0 Hearts),Passive,"Height: 1.4, Width: 0.9",https://gamepedia.cursecdn.com/minecraft_gamepedia/thumb/b/bb/Mooshroom.png/150px-Mooshroom.png?version=d7f9a446ae6046bd4bc0383c33528a38,Mooshrooms are mushroom-covered variants of cows exclusive to the mushroom fields biome.
mule,15 HP (7.5 Hearts) - 30 HP (15 Hearts),0 HP (0 Hearts),Passive,"Height: 1.6, Width: 1.3965",https://gamepedia.cursecdn.com/minecraft_gamepedia/thumb/e/e7/Mule.png/200px-Mule.png?version=c5bc59f9f9a8bef3e01e6c61d73ce364,A mule is a tameable mob that can be ridden when tamed.
ocelot,10 HP (5 Hearts),3 HP (1.5 Hearts),Passive,"Height: 0.7, Width: 0.6",https://gamepedia.cursecdn.com/minecraft_gamepedia/thumb/0/0d/Ocelot.png/200px-Ocelot.png?version=41fab33fb65d06f0c582b046ce2be5a0,Ocelots are rare passive mobs found in jungles.
parrot,6 HP (3 Hearts),0 HP (0 Hearts),Passive,"Height: 0.9, Width: 0.5",https://gamepedia.cursecdn.com/minecraft_gamepedia/thumb/d/de/Red_Parrot.png/150px-Red_Parrot.png?version=bfa9a25234ccaaa4b1c7fdcbe63ce625,Parrots are rare tameable mobs found in jungles. Parrots can imitate sounds of nearby hostile mobs and can perch on the player's shoulders.
pig,10 HP (5 Hearts),0 HP (0 Hearts),Passive,"Height: 0.9, Width: 0.9",https://gamepedia.cursecdn.com/minecraft_gamepedia/thumb/3/30/Pig.png/150px-Pig.png?version=89e2aa44f61753e401ddabacd54aa21b,Pigs are common passive mobs found in grassy biomes. They drop porkchops upon death and can be ridden with saddles.
pufferfish,3 HP (1.5 Hearts),"Easy: 2 HP (1 Heart), Normal: 3 HP (1.5 Hearts), Hard: 4 HP (2 Hearts)",Passive,"Height: 0.7, Width: 0.7",https://gamepedia.cursecdn.com/minecraft_gamepedia/thumb/4/45/Pufferfish_small.gif/150px-Pufferfish_small.gif?version=7429860d74cfe9625d4e4e17c15bb989,"Pufferfish are uncommon passive mobs found in oceans. They deal damage and inflict poison to nearby players and certain mobs, but do not become hostile towards them."
rabbit,3 HP (1.5 Hearts),0 HP (0 Hearts),Passive,"Height: 0.5, Width: 0.4",https://gamepedia.cursecdn.com/minecraft_gamepedia/thumb/9/93/Brown_Rabbit.png/150px-Brown_Rabbit.png?version=31d8be38c69b500e92c071239979fa62,"Rabbits are rare passive mobs. They are a source of rabbit's foot and rabbit hide, as well as raw rabbit meat."
salmon,3 HP (1.5 Hearts),0 HP (0 Hearts),Passive,"Height: 0.4, Width: 0.7",https://gamepedia.cursecdn.com/minecraft_gamepedia/thumb/d/d8/Salmon.gif/150px-Salmon.gif?version=d9d38e82f445ab0a157c56e226226891,Salmon are common passive mobs found in oceans and rivers.
